Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	5315.25	29	869.5	191.75	677.5	59418	7.32
onDS	5291.75	29	751.5	562.75	187.75	28604	3.63
onDF	770	29	729.75	299.25	429.5	13703	2.01
