Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	59.25	30	860	552.75	306.5	59543	7.33
onDS	67.75	30	731.75	382.25	348.75	14360	1.81
onDF	48.25	30	674.5	245.75	428	5035	0.78
