Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	29	4	867.5	446.75	419.75	59345.5	7.3
onDS	34.75	4	742.75	514.25	227.5	14424.75	1.82
onDF	24.25	4	725.5	366.75	358	5091.75	0.78
