Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	115.5	29	873	283	589	58972.5	7.26
onDS	57	29	723.5	320.25	403	14382	1.81
onDF	41.5	29	676.5	284.75	391	5036.25	0.78
