Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	965	4	873.5	304.75	568	59050.25	7.27
onDS	156.83	4	731.83	371.83	359	11051.67	1.39
onDF	101.75	4	707	242	464	5091.25	0.78
