Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	5624	30	868	360.25	507	58995	7.26
onDS	2945.75	30	717.25	343.25	373.5	21596	2.74
onDF	311.75	30	726.25	358.5	367	10395	1.52
