Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	9006	4	866.5	372.5	493.25	59470.5	7.32
onDS	1916.75	4	723	413.75	308.5	16720	2.12
onDF	107.5	4	728.75	318.5	409.5	5543	0.87
