Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	494.75	29	863.25	332	530.5	59209.75	7.29
onDS	260.25	29	741.75	409.5	331.25	14308.5	1.8
onDF	44.5	29	723.5	177.25	545.25	5054.75	0.77
