Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	276.17	18	731.33	385.83	344.78	6108.06	0.75
onDS	76.17	18	674	356.33	316.78	1924.89	0.25
onDF	25.38	18	663.05	534.44	127.78	904.72	0.13
