Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	11.72	46	721.28	277.22	443.22	5505.83	0.69
onDS	12.56	46	674.05	301.11	372.06	1104.06	0.14
onDF	9.16	46	648.94	549.33	98.78	665.61	0.09
