Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	21.56	46	729.56	337.28	391.56	6114.72	0.76
onDS	22	46	660.33	331.17	328.44	1280.56	0.16
onDF	14	46	640.5	557.5	82.56	682.56	0.09
