Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	44	18	725.44	291.22	433.44	6127.11	0.76
onDS	26.39	18	654.22	372.72	280.94	1268.89	0.16
onDF	20.55	18	637.05	542.05	94.05	678	0.09
