Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	12.67	47	725.22	297.83	426.78	5519.28	0.69
onDS	12.9	47	647.4	333.95	312.95	1104.95	0.14
onDF	7.83	47	635.72	538.22	96.78	666.67	0.09
