Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	135.89	41	728.11	408.72	318.56	5519.39	0.69
onDS	137.94	41	680.28	284.5	395.11	2363.67	0.3
onDF	79.72	41	672.83	480.44	206.89	2022.67	0.27
