Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	7.8	18	723.72	320	402.61	6114.56	0.76
onDS	8.5	18	665.67	276.67	388.22	1265.78	0.16
onDF	7.5	18	640.11	534.94	104.27	688.39	0.09
