Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	4212.11	18	652.72	373	279.06	5514.89	0.69
onDS	4972.17	18	649.28	318.89	329.68	2181.68	0.28
onDF	779.11	18	701.61	524.39	176.72	1736.44	0.24
