Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	23.17	54	730.56	340.17	389.39	5538.44	0.69
onDS	22.61	54	709.05	343.83	364.22	2217.44	0.28
onDF	14.5	54	662.22	482.5	179	1478.28	0.21
