Q	QETime(ms)	ResultSize	TM	FM	UM	KGTriples	KGSize(mb)
full	164.17	46	723.5	382.94	340.06	5530.5	0.69
onDS	135.22	46	665.28	361.89	302.61	1650.83	0.21
onDF	46.11	46	668.22	531.05	136.44	1266	0.18
